Year,Innovación Colaborativa
1950-01,0.031854838709677424
1951-01,0.0456989247311828
1952-01,0.0
1953-01,0.0
1954-01,0.09018817204301074
1955-01,0.25806451612903225
1956-01,0.05134408602150538
1957-01,0.06801075268817204
1958-01,0.3185483870967742
1959-01,0.018413978494623656
1960-01,0.07782258064516129
1961-01,0.016129032258064516
1962-01,0.055510752688172044
1963-01,0.007580645161290323
1964-01,0.009072580645161291
1965-01,0.00853494623655914
1966-01,0.008131720430107526
1967-01,0.05994623655913979
1968-01,0.021908602150537634
1969-01,0.14112903225806453
1970-01,0.22983870967741934
1971-01,0.03575268817204301
1972-01,0.056182795698924724
1973-01,0.042607526881720426
1974-01,0.042876344086021506
1975-01,0.16801075268817203
1976-01,0.04045698924731183
1977-01,0.125
1978-01,0.059677419354838716
1979-01,0.11048387096774194
1980-01,0.10604838709677418
1981-01,0.4247311827956989
1982-01,0.04529569892473118
1983-01,0.4233870967741936
1984-01,0.1478494623655914
1985-01,0.11962365591397851
1986-01,0.3010752688172043
1987-01,0.44623655913978494
1988-01,0.31720430107526887
1989-01,0.3938172043010753
1990-01,0.44489247311827956
1991-01,0.5806451612903226
1992-01,0.4838709677419355
1993-01,0.22983870967741934
1994-01,0.4260752688172043
1995-01,0.6814516129032259
1996-01,0.34139784946236557
1997-01,0.6948924731182796
1998-01,0.48252688172043007
1999-01,0.5940860215053764
2000-01,0.5860215053763441
2001-01,0.8104838709677419
2002-01,1.35752688172043
2003-01,1.6397849462365592
2004-01,1.9086021505376343
2005-01,2.6344086021505375
2006-01,9.206989247311828
2007-01,5.201612903225807
2008-01,9.435483870967742
2009-01,13.010752688172044
2010-01,24.193548387096776
2011-01,22.58064516129032
2012-01,17.473118279569892
2013-01,19.086021505376344
2014-01,28.763440860215056
2015-01,28.897849462365592
2016-01,50.94086021505376
2017-01,43.41397849462366
2018-01,56.98924731182795
2019-01,74.46236559139786
2020-01,56.451612903225815
2021-01,82.25806451612904
2022-01,100.0
