Year,Estrategias de Crecimiento
1950-01,0.08520518358531318
1951-01,0.0
1952-01,0.08930885529157667
1953-01,0.43736501079913614
1954-01,0.0
1955-01,0.0
1956-01,0.08250539956803457
1957-01,0.0
1958-01,0.15982721382289417
1959-01,0.2958963282937365
1960-01,0.06943844492440605
1961-01,0.9719222462203023
1962-01,1.533477321814255
1963-01,1.101511879049676
1964-01,1.0907127429805616
1965-01,0.6177105831533478
1966-01,0.7840172786177105
1967-01,1.5658747300215985
1968-01,2.699784017278618
1969-01,4.578833693304536
1970-01,13.066954643628511
1971-01,8.552915766738662
1972-01,7.786177105831533
1973-01,12.526997840172788
1974-01,18.3585313174946
1975-01,17.17062634989201
1976-01,19.870410367170628
1977-01,17.92656587473002
1978-01,18.3585313174946
1979-01,15.118790496760258
1980-01,17.710583153347734
1981-01,23.54211663066955
1982-01,18.142548596112313
1983-01,18.682505399568033
1984-01,18.898488120950326
1985-01,21.382289416846653
1986-01,22.89416846652268
1987-01,30.129589632829372
1988-01,22.03023758099352
1989-01,24.838012958963283
1990-01,31.857451403887687
1991-01,27.5377969762419
1992-01,37.47300215982722
1993-01,27.645788336933048
1994-01,34.12526997840173
1995-01,40.172786177105834
1996-01,45.78833693304536
1997-01,51.40388768898488
1998-01,55.507559395248386
1999-01,63.2829373650108
2000-01,61.771058315334784
2001-01,61.66306695464363
2002-01,94.38444924406049
2003-01,66.6306695464363
2004-01,99.67602591792657
2005-01,100.0
2006-01,95.57235421166308
2007-01,66.414686825054
2008-01,70.3023758099352
2009-01,67.81857451403889
2010-01,78.61771058315335
2011-01,79.58963282937366
2012-01,58.207343412527
2013-01,61.23110151187905
2014-01,50.53995680345573
2015-01,62.09503239740821
2016-01,64.2548596112311
2017-01,53.02375809935206
2018-01,49.24406047516199
2019-01,61.87904967602592
2020-01,49.13606911447084
2021-01,54.535637149028084
2022-01,51.727861771058315
